"","trait","h2_estimate","is_heritable","dataset"
"32","genus_Anaerofustis",9.43e-06,"NS","Davenport_2014"
"33","genus_Anaerostipes",9.43e-06,"NS","Davenport_2014"
"34","genus_Anaerotruncus",0.0230268,"NS","Davenport_2014"
"35","genus_Atopobium",9.43e-06,"NS","Davenport_2014"
"36","genus_Bacteroides",9.43e-06,"NS","Davenport_2014"
"37","genus_Barnesiella",0.211036,"heritable","Davenport_2014"
"38","genus_Bifidobacterium",0.0688223,"NS","Davenport_2014"
"39","genus_Blautia",9.43e-06,"NS","Davenport_2014"
"40","genus_Butyricicoccus",9.43e-06,"NS","Davenport_2014"
"41","genus_Butyricimonas",9.43e-06,"NS","Davenport_2014"
"42","genus_Clostridium",0.0407105,"NS","Davenport_2014"
"43","genus_Collinsella",9.43e-06,"NS","Davenport_2014"
"44","genus_Coprobacillus",0.0940323,"NS","Davenport_2014"
"45","genus_Coprococcus",0.261511,"heritable","Davenport_2014"
"46","genus_Corynebacterium",0.00186134,"NS","Davenport_2014"
"47","genus_Desulfovibrio",9.43e-06,"NS","Davenport_2014"
"48","genus_Dialister",0.114859,"NS","Davenport_2014"
"49","genus_Dolosigranulum",0.279554,"heritable","Davenport_2014"
"50","genus_Dorea",0.161172,"NS","Davenport_2014"
"51","genus_Eggerthella",0.0172371,"NS","Davenport_2014"
"52","genus_Eubacterium",9.43e-06,"NS","Davenport_2014"
